"","x"
"1",0.356019846044592
"2",0.811191809936813
"3",0.27807129796276
"4",1.89576691471653
"5",1.67149501285561
"6",1.92017886603776
"7",2.56942797208065
"8",0.0729546458084422
"9",4.97722786895073
"10",0.108695177380755
"11",2.91985647255923
"12",2.54162891659238
"13",0.0458767045631852
"14",0.14459337005118
"15",1.9618175276034
"16",0.380033048325269
"17",1.78897163829644
"18",0.266286798715008
"19",1.06166149973821
"20",1.16160162530342
"21",0.117424698688614
"22",4.0354357874004
"23",3.95955327914341
"24",2.77572295199192
"25",2.00596517922507
"26",0.0644929659975374
"27",2.52166334741769
"28",0.620832033348108
"29",1.23238485677798
"30",3.46391273958618
"31",1.82120428660111
"32",0.309854849238008
"33",0.230225687765249
"34",2.01089199480373
"35",2.90189291482042
"36",0.303526289658696
"37",2.11209611387454
"38",2.04654699267706
"39",1.39465931508537
"40",5.52132099827409
"41",0.147635692521376
"42",0.363137408000356
"43",2.4128237339872
"44",0.941556502531104
"45",0.520069905262123
"46",0.588287843971803
"47",0.75595579425205
"48",0.635003258183811
"49",0.944171590538163
"50",0.781956697553624
"51",0.912710885741766
"52",0.0306938978686812
"53",3.22950526882478
"54",0.508685250363492
"55",2.46453841820447
"56",0.384293936644265
"57",1.5426115847774
"58",2.31858579387345
"59",0.795601330005788
"60",0.395807347528428
"61",0.82449142293572
"62",0.789880246594883
"63",1.57205209328802
"64",0.505875037690418
"65",2.91674428723733
"66",2.21229245933974
"67",1.74067422309989
"68",0.0582098012707263
"69",1.51952012759945
"70",2.11218042469357
"71",3.32652105480995
"72",0.594867597055599
"73",0.583386193374318
"74",1.90042475341415
"75",1.50734434453561
"76",0.0207037093316499
"77",1.95406732347005
"78",3.21812525500254
"79",0.463532500173575
"80",0.399929019842992
"81",2.87113961948365
"82",0.215729542376242
"83",1.09815846076143
"84",1.28103731471889
"85",1.25259789160837
"86",2.18199894049356
"87",2.2496278524813
"88",6.84070011743403
"89",0.255385230622624
"90",3.00190834320965
"91",1.59678905267266
"92",0.223295716047989
"93",0.783672531318443
"94",0.12195019873942
"95",1.12284297182355
"96",0.635159010384733
"97",1.36851034917028
"98",1.7507630210114
